,date,wallet_address,sent_amount_btc,received_amount_btc,net
3049,2011-03-01 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,79956.0,-79956.0
3048,2011-06-04 13:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001,-0.001
3047,2012-06-23 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.031337,-0.031337
3046,2012-07-16 05:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.999,-0.999
3045,2012-10-23 12:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.009763,-0.009763
3044,2013-01-26 00:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001,-0.001
3043,2013-04-09 16:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-06,-1e-06
3042,2013-06-24 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1.5e-05,-1.5e-05
3041,2013-06-30 09:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08,-1e-08
3040,2013-07-27 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0005,-0.0005
3039,2013-07-27 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.002,-0.002
3038,2013-10-13 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08,-1e-08
3037,2013-10-16 11:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08,-1e-08
3036,2013-10-19 09:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08,-1e-08
3035,2013-11-24 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0002,-0.0002
3034,2013-11-25 01:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
3033,2013-11-25 18:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0008,-0.0008
3032,2013-11-26 11:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
3031,2013-12-01 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
3030,2013-12-02 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
3029,2013-12-02 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-06,-1e-06
3028,2013-12-03 13:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
3027,2013-12-04 04:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
3026,2013-12-04 16:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
